Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_50 Replicate 1	Raw Counts Cond_50 Replicate 2	Raw Counts Cond_50 Replicate 3	Normalized Counts Cond_50 Replicate 1	Normalized Counts Cond_50 Replicate 2	Normalized Counts Cond_50 Replicate 3	RPKM Cond_50	Expression Cond_50	Raw Counts Cond_0.1 Replicate 1	Raw Counts Cond_0.1 Replicate 2	Raw Counts Cond_0.1 Replicate 3	Normalized Counts Cond_0.1 Replicate 1	Normalized Counts Cond_0.1 Replicate 2	Normalized Counts Cond_0.1 Replicate 3	RPKM Cond_0.1	Expression Cond_0.1	pValue Cond_50 vs Cond_0.1	qValue Cond_50 vs Cond_0.1
	32057	33154		+		Rv0029	-	1	0	1	16625	8529	11198	0	11	5	0	4	67193	21581	40159	1	39	0.00532134059919096	0.07441210160367032
	33224	33553		+		Rv0030	-	0	0	0	7506	7463	0	0	15	0	1	1	11623	34431	9308	1	55	0.0268035624176167	0.2412320617585503
	34295	36610		+	bioF2	Rv0032	-	1	3	3	18424	30920	33596	0	11	0	3	6	0	81713	62234	0	20	0.11122104679488339	1.0
	36607	36870		+	acpA	Rv0033	-	0	0	0	0	0	8885	0	11	0	0	0	0	0	2127	0	2	0.008682092413870702	1.0
	36867	37262		+		Rv0034	-	0	0	0	10980	9147	8937	1	24	0	1	0	0	32125	0	0	27	0.4628836786933018	0.9219662164635599
	37259	38947		+	fadD34	Rv0035	-	30	26	28	342245	257519	267981	7	171	9	1	27	108115	30148	253617	3	77	0.2855457891239559	0.7349209068999656
	39829	39056		-		Rv0036c	-	7	9	5	82692	90852	51787	4	97	4	0	9	49587	0	84202	2	57	0.9222428158733301	1.0
	41202	39877		-		Rv0037c	-	5	2	0	61104	27272	2891	0	22	6	1	4	79160	48929	40638	1	42	0.07536892956549868	0.4366515716932332
	41304	41912		+		Rv0038	-	8	5	8	97518	52188	78969	5	125	5	1	9	64030	36243	86489	3	102	0.47537048206905835	0.9369905782931439
	42351	42004		-		Rv0039c	-	5	2	2	63151	22109	18927	4	99	2	1	2	32874	29489	20957	2	79	0.43629124057708174	0.8969410061832309
	43365	42433		-	mtc28	Rv0040c	-	1	2	2	21836	26206	24973	1	26	1	0	2	15199	12026	25053	0	18	0.5443502511667285	1.0
	43562	46471		+	leuS	Rv0041	-	31	43	34	351799	426599	327339	5	126	17	6	45	212242	183196	422819	3	93	0.672907949972428	1.0
	47207	46581		-		Rv0042c	-	3	1	4	34491	18518	41850	2	50	1	0	3	23246	0	29734	1	28	0.6160681120975834	1.0
	48100	47366		-		Rv0043c	-	1	0	3	17245	8754	34069	1	27	0	0	3	8734	0	37180	0	20	0.8710700226750939	1.0
	49027	48233		-		Rv0044c	-	2	0	0	26240	8698	8832	0	18	1	4	0	18431	125864	9148	1	64	0.0032425238282731885	0.04901462955907323
	49939	49043		-		Rv0045c	-	2	6	5	23573	60662	53101	2	51	6	0	2	71733	23228	26170	1	45	0.3419118333906609	0.8025779146778964
51184	51124	50021	50021	-	ino1	Rv0046c	-	417	311	479	4632568	3074017	4540536	159	3697	287	41	316	3397799	1089291	2945957	80	2244	0.5649567942287597	1.0
	51727	51185		-		Rv0047c	-	15	11	14	170719	112233	134016	10	255	8	0	13	98005	0	127819	5	138	0.6514343699755477	1.0
	52697	51828		-		Rv0048c	-	15	18	21	176985	181930	203890	9	215	14	6	26	167675	168863	246755	7	223	0.12128811917869096	0.5257773826665415
	52831	53244		+		Rv0049	-	0	0	0	0	0	0	0	0	0	0	0	2888	20922	8351	0	25	0.0	1.0
	53663	55699		+	ponA1	Rv0050	-	3	4	2	37655	43209	23711	0	17	0	1	4	11072	42009	37765	0	14	0.39774520839012223	1.0
	55696	57378		+		Rv0051	-	3	3	3	41563	34062	37644	0	22	0	4	1	9834	104777	17180	0	26	0.24705018088109604	1.0
	57410	57973		+		Rv0052	-	0	2	4	0	29124	42376	1	42	0	0	0	0	0	0	0	0	1.0	1.0
	58192	58482		+	rpsF	Rv0053	-	0	1	0	0	12289	0	0	14	0	0	0	0	0	0	0	0	0.0	1.0
	58586	59080		+	ssb	Rv0054	-	0	0	0	0	8136	9411	0	11	1	0	1	23108	0	14680	0	25	0.4884638030474286	1.0
	59122	59376		+	rpsR1	Rv0055	-	0	0	0	0	6790	0	0	8	0	0	0	1925	0	0	0	2	0.032936143201540785	1.0
	59409	59867		+	rplI	Rv0056	-	0	0	2	0	5443	22923	0	20	0	0	0	0	0	0	0	0	1.0	1.0
	59896	60417		+		Rv0057	-	0	0	1	0	0	11987	0	7	1	0	1	17125	0	15053	0	20	0.17762685718212787	1.0
	60396	63020		+	dnaB	Rv0058	-	2	3	2	22828	36083	24921	0	10	0	0	3	10660	0	28936	0	5	0.2379787531450718	1.0
	63200	63892		+		Rv0059	-	10	8	15	114764	82547	145793	7	165	4	0	6	50756	19275	58404	2	61	0.1837508157529343	0.621540257748648
63909	63909	64967		+		Rv0060	-	44	34	44	489578	336980	418086	16	391	31	2	30	372833	71663	283776	8	229	0.7548650965023134	1.0
	65350	65012		-		Rv0061c	-	12	13	13	133436	133164	126288	16	386	11	7	15	130330	186161	142180	13	451	0.09243801092672564	0.47048675372681087
65363			65417	+	-	predicted RNA	-	22	24	30	250620	244949	291430	207	4769	28	4	34	342228	124876	317500	170	4755	0.12188314019200698	0.5271700651204843
	65552	66694		+	celA1	Rv0062	-	0	0	1	0	7407	9936	0	5	1	0	0	15818	0	0	0	4	0.45898054839011176	1.0
	66923	68362		+		Rv0063	-	2	3	2	22642	36588	21661	0	18	2	2	6	27922	73311	56702	1	36	0.07004707366718389	0.42316170553502447
	68418	68579		+		Rv0063a	-	0	0	0	0	9259	8517	1	36	0	0	2	6877	16639	20053	2	89	0.16664915855264922	0.6011933209250353
	68620	71559		+		Rv0064	-	5	9	7	59429	90852	72975	1	25	5	3	11	64167	91598	106861	0	29	0.13570587321158506	0.550127774973876
	71589	71828		+	vapB1	Rv0064A	-	1	0	0	15880	0	0	0	22	0	0	3	1031	0	36063	2	51	0.34204464743947105	0.8025779146778964
	71821	72222		+	vapC1	Rv0065	-	13	6	7	145719	61784	68138	9	228	11	0	9	136519	0	91170	7	188	0.5166752061727499	0.9811908921446882
	74511	72274		-	icd2	Rv0066c	-	18	24	22	208126	246857	215720	4	99	10	2	21	126685	76606	204202	2	60	0.9961893096106965	1.0
	75198	74629		-		Rv0067c	-	0	2	1	9553	22727	10725	1	25	1	0	2	18775	19275	21170	1	34	0.5596619313497949	1.0
	75301	76212		+		Rv0068	-	10	6	12	115942	59259	114300	4	105	5	0	6	59353	0	59095	1	43	0.2822974128339903	0.7338383540154643
	77622	76237		-	sdaA	Rv0069c	-	4	7	9	46464	78619	88748	2	51	2	2	1	34731	53706	17978	0	25	0.545831360703835	1.0
	78896	77619		-	glyA2	Rv0070c	-	3	3	1	43424	33557	13512	0	23	4	0	2	54951	0	22765	0	20	0.43345317140044415	1.0
	79486	80193		+		Rv0071	-	9	7	9	110607	70145	88801	5	126	4	0	13	53576	0	129468	3	86	0.8141467494051378	1.0
	80624	81673		+		Rv0072	-	8	6	5	97766	66722	53995	2	69	3	0	4	38033	0	45319	1	26	0.18845011092642464	0.6259967961346966
	81676	82668		+		Rv0073	-	1	2	3	13337	26823	35120	1	25	0	2	1	8459	67380	10585	0	29	0.3300803314192402	0.7875246011254441
	82748	83983		+		Rv0074	-	1	0	0	13027	0	8622	0	5	1	1	0	20701	34761	53	0	14	0.12149489796203802	1.0
	83996	85168		+		Rv0075	-	9	2	11	104714	28282	106519	2	68	7	0	10	94222	23393	100531	2	61	0.3605818007451599	0.8225504142214727
85572	85572	85183	84935	-		Rv0076c	-	13	25	29	151861	251739	275026	25	580	6	4	31	80811	124876	288776	15	422	0.6239057210550528	1.0
	86466	85636		-		Rv0077c	-	8	5	3	91935	50112	34121	2	70	4	0	6	52063	0	58457	1	44	0.9724699969547582	1.0
	86528	87133		+		Rv0078	-	4	6	3	46215	67115	28969	3	78	5	1	7	66162	28995	72340	3	92	0.1966174525439354	0.6340294431573963
	87801	87208		-		Rv0078A	-	0	3	2	0	36588	22660	1	33	2	0	1	24484	0	17021	0	23	0.608725681095269	1.0
	88004	87798		-		Rv0078B	-	0	0	0	0	1346	6151	0	12	0	0	0	0	0	0	0	0	0.0	1.0
	88204	89025		+		Rv0079	-	0	1	2	8933	16778	21188	0	19	2	0	2	33975	3459	24787	0	25	0.5085228903519782	1.0
	89022	89480		+		Rv0080	-	3	0	0	39640	8866	8832	1	41	0	2	4	8528	61779	43138	2	82	0.10383167729593223	0.495845903099205
	89575	89919		+		Rv0081	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	89924	90403		+		Rv0082	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	90400	92322		+		Rv0083	-	1	3	0	17307	35634	0	0	9	0	2	4	10110	59967	38617	0	18	0.09790726019513893	1.0
	92328	93278		+	hycD	Rv0084	-	2	0	1	24379	0	16771	0	14	1	5	0	15405	141186	691	0	55	0.0014061178878817316	0.024944066498662286
	93289	93951		+	hycP	Rv0085	-	0	0	0	0	0	7886	0	3	0	0	0	0	0	4095	0	2	0.5786411519781461	1.0
	93951	95417		+	hycQ	Rv0086	-	2	0	0	28908	0	5047	0	7	5	0	1	65887	22240	17021	0	23	0.021156690639981924	1.0
	95414	96892		+	hycE	Rv0087	-	3	6	2	40136	66778	25026	1	29	1	0	2	20357	23393	25585	0	15	0.5709171294241334	1.0
	96927	97601		+		Rv0088	-	1	3	2	21650	31257	19348	1	35	2	2	1	33218	73311	15744	1	60	0.1406030291707851	0.5606748762222188
	97758	98351		+		Rv0089	-	0	0	0	0	1402	0	0	0	0	0	0	11279	0	5744	0	9	3.2337549353924887E-24	1.0
	98480	99250		+		Rv0090	-	0	0	0	0	0	6940	0	3	0	0	0	0	0	6702	0	2	0.5087249117915599	1.0
	99684	100451		+	mtn	Rv0091	-	0	0	1	7568	8024	14458	0	13	1	0	2	16918	0	23297	0	17	0.7965221994589322	1.0
	100583	102868		+	ctpA	Rv0092	-	16	15	12	188151	156677	120715	2	67	17	3	22	208734	89785	209521	2	74	0.10992366370053382	0.5080037234702871
	103663	102815		-		Rv0093c	-	12	3	10	136042	37991	95636	4	105	6	3	9	78266	86820	92074	3	100	0.31167192509927294	0.7679267210447771
104663	104663	103710	103710	-		Rv0094c	-	53	58	97	595409	573120	926971	32	732	76	21	61	903782	562108	568085	22	710	0.12048134838783829	0.5245679162863794
	105215	104805		-		Rv0095c	-	2	0	0	23697	0	8359	1	25	0	0	0	0	0	0	0	0	1.0	1.0
	105324	106715		+	PPE1	Rv0096	-	0	1	0	0	9988	0	0	2	0	3	1	10453	91103	12287	0	27	1.7271646158208423E-15	1.1407257993413655E-13
	106734	107603		+		Rv0097	-	0	0	3	9739	6285	33911	0	19	3	0	8	40921	0	78829	1	45	0.05114454850653873	0.3501810952768274
	107600	108151		+	fcoT	Rv0098	-	0	0	0	0	7351	0	0	4	0	0	0	0	0	4946	0	2	0.5519667865260088	1.0
	108156	109778		+	fadD10	Rv0099	-	3	5	2	35359	55106	19663	0	22	0	0	1	7634	24382	17021	0	10	0.24846732722902082	1.0
	109783	110019		+		Rv0100	-	1	1	8	15570	18574	83596	7	165	6	0	3	73865	15321	36436	6	176	0.282048284212792	0.7338383540154643
	110001	117539		+	nrp	Rv0101	-	84	113	115	932816	1125028	1097528	6	139	64	25	82	761279	659143	768191	3	96	0.4270606689341303	0.8886919300699085
	117714	119699		+		Rv0102	-	9	18	12	108064	179405	120294	2	68	13	1	21	159766	50082	202340	2	69	0.17995356381404937	0.6186321986855975
	122173	119915		-	ctpB	Rv0103c	-	15	31	20	175868	309988	198002	4	100	15	3	19	182874	93245	179521	2	67	0.8253748782398427	1.0
	122317	123831		+		Rv0104	-	16	32	20	180645	325028	190799	6	153	12	2	30	142297	75617	288457	4	111	0.6297281086413921	1.0
	124264	123980		-	rpmB1	Rv0105c	-	0	0	0	0	0	5257	0	6	0	0	0	0	0	1117	0	1	0.0016312939313825393	1.0
	124374	125570		+		Rv0106	-	12	8	15	138647	85746	145583	4	103	13	3	11	158596	92257	104042	3	98	0.2583756333086153	0.7065010151553411
	130541	125643		-	ctpI	Rv0107c	-	5	3	8	61724	32210	81545	0	11	17	51	10	208803	1359637	97500	2	113	3.5554582587372344E-57	4.9237362273415956E-55
130795			131032	+	-	predicted RNA	antisense: Rv0108c	110	131	157	1229838	1301290	1485909	244	5626	99	31	143	1182737	823887	1340000	159	4687	0.1945790587332559	0.6330884660726868
	131104	130895		-		Rv0108c	-	0	0	0	0	0	0	0	0	0	0	0	3713	0	7872	0	18	0.0	1.0
	131382	132872		+	PE_PGRS1	Rv0109	-	0	0	0	0	9427	0	0	2	0	0	0	6946	0	0	0	1	0.5481333920225608	1.0
	133020	133769		+		Rv0110	-	1	1	3	13089	12008	28391	1	23	0	0	0	7634	17133	0	0	11	0.7097059259511758	1.0
	133950	136007		+		Rv0111	-	7	4	9	86600	42929	85173	1	34	3	1	8	43672	33113	74521	0	24	0.7114571232474945	1.0
	136289	137245		+	gca	Rv0112	-	0	1	0	9801	16610	0	0	9	0	0	3	11416	0	27925	0	13	0.8724331949366675	1.0
	137319	137909		+	gmhA	Rv0113	-	10	7	4	117617	77216	45899	5	135	8	1	4	96905	29324	38191	3	92	0.7844174508508156	1.0
	137941	138513		+	gmhB	Rv0114	-	0	1	0	5955	13748	0	0	11	0	0	0	1925	0	1489	0	1	5.764208884534034E-4	1.0
	138513	139673		+	hddA	Rv0115	-	0	1	2	4156	10718	26813	0	11	3	0	1	44704	0	12553	0	16	0.6164290565138552	1.0
	139956	140144		+		Rv0115a	-	0	2	2	8188	27833	19085	4	97	2	1	0	28266	32125	7659	3	120	0.4264144437227897	0.8884938213257976
	141022	140267		-	ldtA	Rv0116c	-	21	20	10	236166	197923	101787	10	236	18	0	9	217537	24217	89361	5	145	0.948983668361965	1.0
	141200	142144		+	oxyS	Rv0117	-	4	7	16	50310	69360	154468	4	96	11	2	11	131292	74464	108936	3	111	0.1292865338645929	0.5386330276294493
	143876	142128		-	oxcA	Rv0118c	-	5	4	6	62096	42592	60620	1	31	6	1	2	74277	49258	23776	0	28	0.30991075610504726	0.7676498524133837
	144049	145626		+	fadD7	Rv0119	-	17	8	12	189330	84904	120084	3	83	20	2	11	246629	73805	105319	3	89	0.13329333663367746	0.5454988504941634
	147771	145627		-	fusA2	Rv0120c	-	2	1	4	22394	17115	44952	0	13	3	1	7	37551	47281	71276	0	24	0.08443095938180889	1.0
	148342	147908		-		Rv0121c	-	0	0	0	0	7239	4048	0	8	0	0	0	4951	0	0	0	3	0.8633833084224508	1.0
	148491	148859		+		Rv0122	-	0	0	0	0	0	0	0	0	0	0	1	2544	0	10053	0	11	0.0	1.0
	148856	149224		+		Rv0123	-	1	3	2	21960	33108	26025	3	73	3	0	5	37757	0	49946	3	79	0.346349611710948	0.807009196264322
	149533	150996		+	PE_PGRS2	Rv0124	-	1	0	0	17866	9315	5047	0	7	1	1	3	15130	40527	30851	0	19	0.058338966683660114	1.0
	151148	152215		+	pepA	Rv0125	-	4	3	1	48697	32435	14300	1	29	3	1	2	42022	51565	19893	0	35	0.2668774184124727	0.7165438070684937
	152324	154129		+	treS	Rv0126	-	4	8	2	44665	79966	22607	1	27	4	0	1	48486	22734	16808	0	16	0.855385607802998	1.0
	154232	155599		+	mak	Rv0127	-	5	1	1	60607	19360	10725	0	22	1	4	4	12379	105601	42606	0	39	0.091717772947973	0.4694965420249313
	155667	156446		+		Rv0128	-	2	1	8	29528	18069	77497	2	53	2	0	4	32118	25700	44255	1	43	0.4514480379349642	0.9116022703926628
	157600	156578		-	fbpC	Rv0129c	-	9	10	12	110732	102693	121924	4	109	7	2	6	90852	59308	59095	2	68	0.9570885229167733	1.0
	157847	158302		+	htdZ	Rv0130	-	3	2	1	41253	23344	10883	2	55	3	0	5	36657	6919	53936	2	71	0.2676130435521855	0.7171428189572613
	159658	158315		-	fadE1	Rv0131c	-	3	0	2	34181	4769	25972	0	16	2	0	3	30398	0	35957	0	16	0.5167391169551295	1.0
	160782	159700		-	fgd2	Rv0132c	-	14	5	12	165818	54994	118086	4	104	7	0	8	93810	9225	82606	2	57	0.7475827101167613	1.0
	160869	161474		+		Rv0133	-	0	0	0	3473	0	0	0	1	2	0	1	30192	17627	16223	1	35	1.6672163603268432E-45	1.9881555096897607E-43
	161771	162673		+	ephF	Rv0134	-	6	5	6	74069	56172	58569	2	69	8	1	6	97386	46457	56223	2	73	0.20065354162241072	0.6376059616469351
163249	163249	162644	161798	-		Rv0135c	-	28	25	30	311786	250392	285173	20	466	23	4	37	273039	124217	344521	14	408	0.3181096340578047	0.7755389175046455
	163366	164691		+	cyp138	Rv0136	-	2	5	8	29714	57968	77655	1	41	4	1	7	49037	38056	71755	1	39	0.2647558254113672	0.7134945125492778
	165260	164712		-	msrA	Rv0137c	-	8	4	9	96588	41526	91009	5	139	4	1	5	49931	35584	55212	2	85	0.9989449100102382	1.0
	165323	165826		+		Rv0138	-	0	0	0	0	0	0	0	0	0	0	0	0	0	9042	0	5	0.0	1.0
	165827	166849		+		Rv0139	-	3	0	1	40818	9147	14195	0	20	3	0	1	44910	0	16489	0	20	0.6464780566923678	1.0
166910	166910	167290		+		Rv0140	-	17	8	21	197704	84455	208044	18	428	11	1	13	140577	28006	124308	9	256	0.835826310369298	1.0
167806	167681	167271	166941	-		Rv0141c	-	15	49	70	177109	487429	667507	48	1080	38	16	36	452544	422899	339361	30	985	0.17498450156975914	0.6132314001950825
	167711	168637		+		Rv0142	-	8	5	4	90756	56453	39064	2	66	7	2	8	94222	64579	74468	2	83	0.12124845302582718	0.5257773826665415
	170182	168704		-		Rv0143c	-	9	8	12	102233	87934	115194	2	68	11	4	11	133837	110543	105638	2	78	0.11335422838243522	0.5129567551451403
	170284	171126		+		Rv0144	-	4	2	4	52977	25476	43690	2	48	2	0	5	32393	20593	53563	1	42	0.3676205687576012	0.8308470827485035
171142			170773	-	-	predicted RNA	antisense: Rv0144	185	260	220	2056141	2571661	2089642	262	6051	204	48	272	2414718	1272817	2540053	196	5610	0.2526416207606008	0.7015462341043075
	171215	172168		+		Rv0145	-	1	0	0	13275	0	0	0	4	1	2	3	17400	69028	31755	1	41	2.497721373847846E-10	1.3237923281393584E-8
171665			171388	-	-	predicted RNA	antisense: Rv0145	135	154	129	1505955	1522109	1224132	219	5098	127	16	151	1503851	428995	1407074	146	4004	0.21289001536853366	0.6600606544097888
	172211	173143		+		Rv0146	-	0	2	1	0	23007	10357	0	11	0	7	0	10453	185008	7872	1	72	1.6695119744461622E-7	6.891552794516705E-6
	173238	174758		+		Rv0147	-	0	1	0	0	10662	0	0	2	2	0	1	27785	25700	14255	0	14	6.277387808300793E-5	1.0
	174833	175693		+		Rv0148	-	0	0	0	10049	0	0	0	3	0	0	0	0	0	0	0	0	0.0	1.0
	175700	176668		+		Rv0149	-	0	2	0	0	25028	5888	0	10	0	0	4	0	17627	40744	0	20	0.22767892536028314	1.0
176952	176952	176665		-		Rv0150c	-	10	17	20	111414	168967	191745	23	546	13	2	9	163480	69851	90957	12	375	0.8498762386322003	1.0
	179309	177543		-	PE1	Rv0151c	-	11	11	5	123635	115656	49842	2	54	9	2	14	111760	55518	130372	1	56	0.2166298884133523	0.6604656273315155
	180896	179319		-	PE2	Rv0152c	-	3	3	2	41811	35297	19926	0	20	3	6	6	37620	174794	57021	1	56	0.0031174582204052093	0.04762721758078137
	181985	181155		-	ptbB	Rv0153c	-	2	4	5	23387	42704	49316	2	46	5	0	8	63067	18945	75691	2	63	0.16664804376911066	0.6011933209250353
	183198	181987		-	fadE2	Rv0154c	-	3	0	0	34491	6846	6466	0	13	0	1	2	10866	46128	21595	0	21	0.22085333512976887	1.0
	183622	184722		+	pntAa	Rv0155	-	1	3	2	14826	31593	20241	0	20	1	1	3	20426	37726	37021	0	28	0.23859532449572807	0.6843005237375196
	184723	185055		+	pntAb	Rv0156	-	6	7	10	77605	74298	95373	10	247	7	4	7	91196	115485	69521	8	276	0.16014964142931987	0.5968076481389498
	185052	186479		+	pntB	Rv0157	-	19	27	19	221526	270763	182439	6	157	21	4	26	249381	110214	244255	4	140	0.24912242431983717	0.6975722965965601
	186623	186495		-		Rv0157A	-	1	2	1	16439	22446	16298	6	142	3	0	4	46836	22405	39095	9	279	0.11135968791529814	0.5112339907873839
	186785	187429		+		Rv0158	-	0	0	1	930	1571	14037	0	8	3	0	0	39546	0	9255	0	25	0.08626998275663722	1.0
	188839	187433		-	PE3	Rv0159c	-	20	35	44	228908	353254	425131	10	238	24	3	44	289270	81383	416117	7	186	0.5693177336494413	1.0
	190439	188931		-	PE4	Rv0160c	-	0	3	4	7009	35970	40904	0	18	0	0	0	8665	0	6276	0	3	0.0015645163798477081	1.0
	190607	191956		+		Rv0161	-	2	0	1	23883	6958	15036	0	11	0	0	3	0	0	35372	0	8	0.40600718620597104	1.0
	193135	191984		-	adhE1	Rv0162c	-	2	4	2	26612	46745	25236	1	28	0	0	3	0	0	36542	0	10	0.12186389905443612	0.5271700651204843
	193117	193572		+		Rv0163	-	5	7	9	62841	69753	94111	7	165	3	0	11	44497	0	102500	4	107	0.8830015011695107	1.0
	193626	194111		+	TB18.5	Rv0164	-	21	28	22	236352	278170	214984	21	500	17	0	17	212379	21581	158404	10	269	0.7110544968657064	1.0
194815	194815	194144	193686	-	mce1R	Rv0165c	-	25	41	25	278163	413299	238117	19	461	23	8	47	272696	216474	438244	16	460	0.14358121188648504	0.567680774484085
	194993	196657		+	fadD5	Rv0166	-	1	6	3	18486	64141	37749	1	24	3	3	5	39202	88467	50744	0	35	0.12319451913783955	0.5271700651204843
