Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_0.1 Replicate 1	Raw Counts Cond_0.1 Replicate 2	Raw Counts Cond_0.1 Replicate 3	Normalized Counts Cond_0.1 Replicate 1	Normalized Counts Cond_0.1 Replicate 2	Normalized Counts Cond_0.1 Replicate 3	RPKM Cond_0.1	Expression Cond_0.1	Raw Counts Cond_6 Replicate 1	Raw Counts Cond_6 Replicate 2	Normalized Counts Cond_6 Replicate 1	Normalized Counts Cond_6 Replicate 2	RPKM Cond_6	Expression Cond_6	pValue Cond_0.1 vs Cond_6	qValue Cond_0.1 vs Cond_6
	9914	10828		+		Rv0007	-	0	4	1	10729	118451	12872	0	51	0	4	0	118451	1	64	0.5268720958910854	1.0
10887			10960	+	ileT	Rvnt01	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
11112			11184	+	alaT	Rvnt02	-	0	0	1	7427	988	12819	3	96	0	0	4460	988	0	37	0.6473381568209592	1.0
	12311	11874		-		Rv0008c	-	1	1	1	18088	49588	16648	1	64	0	1	9751	49588	1	67	0.49661845248149056	1.0
	12468	13016		+	ppiA	Rv0009	-	6	3	14	72558	93410	131914	5	180	7	3	133817	93410	4	206	0.4975482984019612	1.0
12683			12592	-	-	predicted RNA	antisense: ppiA	52	11	70	621251	293410	654308	201	5684	32	11	607365	293410	112	4895	0.5087222665119479	1.0
13558	13558	13133		-		Rv0010c	-	58	6	113	693810	179406	1058563	58	1511	24	6	453734	179406	17	743	0.6351420338105261	1.0
13995	13995	13714	13714	-		Rv0011c	-	21	2	33	254401	55189	316010	28	739	7	2	146784	55189	8	358	0.6052398779674673	1.0
	14089	14877		+		Rv0012	-	2	1	7	33768	27677	65797	1	53	5	1	101037	27677	1	81	0.5567645901431925	1.0
	14914	15612		+	trpG	Rv0013	-	23	5	34	273933	138714	318617	12	348	18	5	333298	138714	7	337	0.48486059022798483	1.0
	17470	15590		-	pknB	Rv0014c	-	28	8	64	333287	224546	596436	7	204	25	8	469605	224546	4	184	0.5011604705591141	1.0
	18762	17467		-	pknA	Rv0015c	-	2	8	6	34662	213344	65106	1	80	2	8	53215	213344	1	102	0.5116994644164942	1.0
	20234	18759		-	pbpA	Rv0016c	-	8	4	5	99381	125205	50106	1	62	3	4	59958	125205	1	62	0.47975872455804125	1.0
	21640	20231		-	rodA	Rv0017c	-	10	1	14	125515	28006	138776	2	69	3	1	70435	28006	0	34	0.6251196820415528	1.0
	23181	21637		-	pstP	Rv0018c	-	3	2	2	43603	70675	22819	0	29	2	2	50622	70675	0	39	0.5365163512674175	1.0
	23737	23270		-	fhaB	Rv0019c	-	0	0	1	8596	0	10000	0	13	0	0	10892	0	0	11	0.5226158303961713	1.0
	25444	23861		-	fhaA	Rv0020c	-	17	1	22	202544	43492	206702	3	95	5	1	109439	43492	1	48	0.607755271770121	1.0
25644			25726	+	leuT	Rvnt03	-	0	0	0	0	0	0	0	0	0	0	14419	0	2	86	0.0	0.0
	26881	25913		-		Rv0021c	-	8	0	8	100756	14827	80531	2	67	5	0	101659	14827	1	60	0.4651519509662826	1.0
	27442	27023		-	whiB5	Rv0022c	-	0	0	0	11691	0	2553	0	11	1	0	20643	0	0	24	0.6410921283403778	1.0
	27595	28365		+		Rv0023	-	0	0	2	550	0	19680	0	8	1	0	21784	0	0	14	0.5919402136265653	1.0
	28362	29207		+		Rv0024	-	1	1	0	12998	33937	1861	0	19	0	1	13900	33937	0	28	0.5615774167899455	1.0
	29245	29607		+		Rv0025	-	0	1	0	0	40856	0	0	37	0	1	0	40856	0	56	0.5685034026505403	1.0
	29722	31068		+		Rv0026	-	8	2	18	100825	73311	175691	3	86	10	2	190248	73311	2	97	0.5015456670046149	1.0
	31189	31506		+		Rv0027	-	2	2	1	32118	66886	17340	3	121	0	2	17946	66886	2	133	0.5023681411761102	1.0
	31514	31819		+		Rv0028	-	5	3	13	61210	81878	123351	9	290	7	3	143049	81878	8	367	0.5118593595196314	1.0
	32057	33154		+		Rv0029	-	5	0	4	67193	21581	40159	1	39	0	0	0	21581	0	9	0.8597496241420213	1.0
	33224	33553		+		Rv0030	-	0	1	1	11623	34431	9308	1	55	0	1	0	34431	0	52	0.4748783451652749	1.0
	34295	36610		+	bioF2	Rv0032	-	0	3	6	0	81713	62234	0	20	4	3	80186	81713	0	34	0.5715083565637621	1.0
	36607	36870		+	acpA	Rv0033	-	0	0	0	0	0	2127	0	2	0	0	0	0	0	0	2.37514582208479E-9	1.0
	36867	37262		+		Rv0034	-	0	1	0	0	32125	0	0	27	0	1	0	32125	0	40	0.5717818189148685	1.0
	37259	38947		+	fadD34	Rv0035	-	9	1	27	108115	30148	253617	3	77	6	1	121576	30148	1	44	0.5927223558035138	1.0
	39829	39056		-		Rv0036c	-	4	0	9	49587	0	84202	2	57	2	0	48547	0	0	31	0.6223237460824232	1.0
	41202	39877		-		Rv0037c	-	6	1	4	79160	48929	40638	1	42	5	1	104460	48929	1	57	0.5382685426494189	1.0
	41304	41912		+		Rv0038	-	5	1	9	64030	36243	86489	3	102	3	1	68983	36243	1	86	0.4569526238585126	1.0
	42351	42004		-		Rv0039c	-	2	1	2	32874	29489	20957	2	79	0	1	15767	29489	1	65	0.44687539177212626	1.0
	43365	42433		-	mtc28	Rv0040c	-	1	0	2	15199	12026	25053	0	18	0	0	15560	12026	0	14	0.5577284031181655	1.0
	43562	46471		+	leuS	Rv0041	-	17	6	45	212242	183196	422819	3	93	14	6	268360	183196	1	77	0.5306978040005038	1.0
	47207	46581		-		Rv0042c	-	1	0	3	23246	0	29734	1	28	0	0	10684	0	0	8	0.6931326614280244	1.0
	48100	47366		-		Rv0043c	-	0	0	3	8734	0	37180	0	20	0	0	17012	0	0	11	0.6199771542912494	1.0
	49027	48233		-		Rv0044c	-	1	4	0	18431	125864	9148	1	64	3	4	64522	125864	2	119	0.5819719548155495	1.0
	49939	49043		-		Rv0045c	-	6	0	2	71733	23228	26170	1	45	4	0	79875	23228	1	57	0.5292736518760129	1.0
51124	51124	50021	50021	-	ino1	Rv0046c	-	287	41	316	3397799	1089291	2945957	80	2244	158	41	2922614	1089291	42	1816	0.5215864610753856	1.0
	51727	51185		-		Rv0047c	-	8	0	13	98005	0	127819	5	138	3	0	60892	0	1	56	0.6579371840753766	1.0
	52697	51828		-		Rv0048c	-	14	6	26	167675	168863	246755	7	223	6	6	117427	168863	3	164	0.547400177522368	1.0
	52831	53244		+		Rv0049	-	0	0	0	2888	20922	8351	0	25	0	0	0	20922	0	25	0.4881405451106323	1.0
	53663	55699		+	ponA1	Rv0050	-	0	1	4	11072	42009	37765	0	14	2	1	48029	42009	0	22	0.5547903496365937	1.0
	55696	57378		+		Rv0051	-	0	4	1	9834	104777	17180	0	26	1	4	19294	104777	0	36	0.5458693995064973	1.0
	57410	57973		+		Rv0052	-	0	0	0	0	0	0	0	0	2	0	48547	0	1	43	1.0	1.0
	58192	58482		+	rpsF	Rv0053	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	58586	59080		+	ssb	Rv0054	-	1	0	1	23108	0	14680	0	25	0	0	11410	0	0	11	0.6424799751643403	1.0
	59122	59376		+	rpsR1	Rv0055	-	0	0	0	1925	0	0	0	2	0	0	0	0	0	0	2.515064720876675E-7	1.0
	59409	59867		+	rplI	Rv0056	-	0	0	0	0	0	0	0	0	1	0	21991	0	0	23	1.0	1.0
	59896	60417		+		Rv0057	-	1	0	1	17125	0	15053	0	20	0	0	11099	0	0	10	0.6218357696963852	1.0
	60396	63020		+	dnaB	Rv0058	-	0	0	3	10660	0	28936	0	5	0	0	0	0	0	0	0.0	1.0
	63200	63892		+		Rv0059	-	4	0	6	50756	19275	58404	2	61	2	0	49688	19275	1	49	0.55138825082472	1.0
	63909	64967		+		Rv0060	-	31	2	30	372833	71663	283776	8	229	18	2	336721	71663	4	192	0.5316475996609684	1.0
	65350	65012		-		Rv0061c	-	11	7	15	130330	186161	142180	13	451	9	7	184232	186161	11	546	0.5040870080780104	1.0
	65552	66694		+	celA1	Rv0062	-	1	0	0	15818	0	0	0	4	1	0	29564	0	0	12	0.6752658204725154	1.0
	66923	68362		+		Rv0063	-	2	2	6	27922	73311	56702	1	36	0	2	14522	73311	0	30	0.5448571789647231	1.0
	68418	68579		+		Rv0063a	-	0	0	2	6877	16639	20053	2	89	0	0	0	16639	0	51	0.614059419164538	1.0
	68620	71559		+		Rv0064	-	5	3	11	64167	91598	106861	0	29	2	3	47302	91598	0	23	0.4411328252836033	1.0
	71589	71828		+	vapB1	Rv0064A	-	0	0	3	1031	0	36063	2	51	0	0	0	0	0	0	0.0	0.0
	71821	72222		+	vapC1	Rv0065	-	11	0	9	136519	0	91170	7	188	6	0	119294	0	3	148	0.5580290051742669	1.0
	74511	72274		-	icd2	Rv0066c	-	10	2	21	126685	76606	204202	2	60	8	2	157676	76606	1	52	0.532281173353902	1.0
	75198	74629		-		Rv0067c	-	1	0	2	18775	19275	21170	1	34	1	0	34958	19275	1	47	0.547189704822933	1.0
	75301	76212		+		Rv0068	-	5	0	6	59353	0	59095	1	43	4	0	75103	0	1	41	0.47799203914198773	1.0
	77622	76237		-	sdaA	Rv0069c	-	2	2	1	34731	53706	17978	0	25	2	2	44502	53706	0	35	0.5418656793689475	1.0
	78896	77619		-	glyA2	Rv0070c	-	4	0	2	54951	0	22765	0	20	1	0	36410	0	0	14	0.5804080507466436	1.0
	79486	80193		+		Rv0071	-	4	0	13	53576	0	129468	3	86	4	0	82780	0	1	58	0.5808225713477583	1.0
	80624	81673		+		Rv0072	-	3	0	4	38033	0	45319	1	26	1	0	36410	0	0	17	0.5933273963546967	1.0
	81676	82668		+		Rv0073	-	0	2	1	8459	67380	10585	0	29	0	2	7987	67380	0	37	0.5355821565216236	1.0
	82748	83983		+		Rv0074	-	1	1	0	20701	34761	53	0	14	1	1	34854	34761	0	28	0.5996264716486722	1.0
	83996	85168		+		Rv0075	-	7	0	10	94222	23393	100531	2	61	1	0	34543	23393	0	24	0.6615969644346928	1.0
85572	85572	85183		-		Rv0076c	-	6	4	31	80811	124876	288776	15	422	6	4	122614	124876	6	317	0.5501017968648729	1.0
	86466	85636		-		Rv0077c	-	4	0	6	52063	0	58457	1	44	2	0	50000	0	0	30	0.5862909126381814	1.0
	86528	87133		+		Rv0078	-	5	1	7	66162	28995	72340	3	92	0	1	10269	28995	0	32	0.681039590166508	1.0
	87801	87208		-		Rv0078A	-	2	0	1	24484	0	17021	0	23	2	0	50518	0	1	42	0.6005370066745618	1.0
	88004	87798		-		Rv0078B	-	0	0	0	0	0	0	0	0	0	0	5394	0	0	13	0.0	1.0
	88204	89025		+		Rv0079	-	2	0	2	33975	3459	24787	0	25	0	0	0	3459	0	2	6.114360005454381E-10	1.0
	89022	89480		+		Rv0080	-	0	2	4	8528	61779	43138	2	82	0	2	0	61779	1	67	0.448962790819284	1.0
	89575	89919		+		Rv0081	-	0	0	0	0	0	0	0	0	1	0	30705	0	1	44	1.0	1.0
	89924	90403		+		Rv0082	-	0	0	0	0	0	0	0	0	0	0	10062	0	0	10	0.0	1.0
	90400	92322		+		Rv0083	-	0	2	4	10110	59967	38617	0	18	1	2	18568	59967	0	20	0.5009012574236378	1.0
	92328	93278		+	hycD	Rv0084	-	1	5	0	15405	141186	691	0	55	0	5	0	141186	1	74	0.5373445856433169	1.0
	93289	93951		+	hycP	Rv0085	-	0	0	0	0	0	4095	0	2	0	0	0	0	0	0	0.0	1.0
	93951	95417		+	hycQ	Rv0086	-	5	0	1	65887	22240	17021	0	23	1	0	25311	22240	0	16	0.5869224682747706	1.0
	95414	96892		+	hycE	Rv0087	-	1	0	2	20357	23393	25585	0	15	3	0	66182	23393	0	30	0.5973962632930817	1.0
	96927	97601		+		Rv0088	-	2	2	1	33218	73311	15744	1	60	0	2	12136	73311	1	63	0.4951031227569554	1.0
	97758	98351		+		Rv0089	-	0	0	0	11279	0	5744	0	9	1	0	24273	0	0	20	0.6403501843433285	1.0
	98480	99250		+		Rv0090	-	0	0	0	0	0	6702	0	2	3	0	59232	0	1	38	8.815640839369058E-9	4.988477296304304E-7
	99684	100451		+	mtn	Rv0091	-	1	0	2	16918	0	23297	0	17	2	0	38278	0	0	24	0.5598152560825586	1.0
	100583	102868		+	ctpA	Rv0092	-	17	3	22	208734	89785	209521	2	74	4	3	87551	89785	0	38	0.5972502763490387	1.0
	103663	102815		-		Rv0093c	-	6	3	9	78266	86820	92074	3	100	6	3	118464	86820	2	120	0.5057143076203326	1.0
104663	104663	103710	103710	-		Rv0094c	-	76	21	61	903782	562108	568085	22	710	35	21	662136	562108	13	641	0.5048757900149206	1.0
	105215	104805		-		Rv0095c	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	105324	106715		+	PPE1	Rv0096	-	0	3	1	10453	91103	12287	0	27	0	3	14419	91103	0	37	0.5429082894382353	1.0
	106734	107603		+		Rv0097	-	3	0	8	40921	0	78829	1	45	1	0	34751	0	0	19	0.6588452010616889	1.0
	107600	108151		+	fcoT	Rv0098	-	0	0	0	0	0	4946	0	2	0	0	13796	0	0	12	0.7524668435666682	1.0
	108156	109778		+	fadD10	Rv0099	-	0	0	1	7634	24382	17021	0	10	3	0	72614	24382	0	29	0.7655202074898776	1.0
	109783	110019		+		Rv0100	-	6	0	3	73865	15321	36436	6	176	0	0	15663	15321	1	65	0.6807721407473668	1.0
	110001	117539		+	nrp	Rv0101	-	64	25	82	761279	659143	768191	3	96	35	25	661929	659143	1	87	0.503546778539343	1.0
	117714	119699		+		Rv0102	-	13	1	21	159766	50082	202340	2	69	4	1	87551	50082	0	34	0.6138299079671115	1.0
	122173	119915		-	ctpB	Rv0103c	-	15	3	19	182874	93245	179521	2	67	9	3	180082	93245	1	60	0.5261121250729329	1.0
	122317	123831		+		Rv0104	-	12	2	30	142297	75617	288457	4	111	15	2	288070	75617	2	120	0.4907065305553144	1.0
	124264	123980		-	rpmB1	Rv0105c	-	0	0	0	0	0	1117	0	1	0	0	2385	0	0	4	0.8257779840344726	1.0
	124374	125570		+		Rv0106	-	13	3	11	158596	92257	104042	3	98	4	3	74273	92257	1	69	0.5668685883627037	1.0
	130541	125643		-	ctpI	Rv0107c	-	17	51	10	208803	1359637	97500	2	113	91	51	1694709	1359637	6	311	0.994226307372845	1.0
	131104	130895		-		Rv0108c	-	0	0	0	3713	0	7872	0	18	0	0	16701	0	1	39	0.6416486976553338	1.0
	131382	132872		+	PE_PGRS1	Rv0109	-	0	0	0	6946	0	0	0	1	0	0	0	0	0	0	0.0	1.0
	133020	133769		+		Rv0110	-	0	0	0	7634	17133	0	0	11	0	0	0	17133	0	11	0.5038642672073147	1.0
	133950	136007		+		Rv0111	-	3	1	8	43672	33113	74521	0	24	3	1	59439	33113	0	22	0.472481199370068	1.0
	136289	137245		+	gca	Rv0112	-	0	0	3	11416	0	27925	0	13	1	0	26452	0	0	13	0.49285288447829423	1.0
	137319	137909		+	gmhA	Rv0113	-	8	1	4	96905	29324	38191	3	92	5	1	95539	29324	2	105	0.5099483864960028	1.0
	137941	138513		+	gmhB	Rv0114	-	0	0	0	1925	0	1489	0	1	0	0	17219	0	0	15	0.001851191752506496	1.0
	138513	139673		+	hddA	Rv0115	-	3	0	1	44704	0	12553	0	16	2	0	44294	0	0	19	0.516597806891191	1.0
	139956	140144		+		Rv0115a	-	2	1	0	28266	32125	7659	3	120	0	1	0	32125	1	84	0.5796490727069634	1.0
	141022	140267		-	ldtA	Rv0116c	-	18	0	9	217537	24217	89361	5	145	1	0	28630	24217	0	34	0.3061774521648107	1.0
	141200	142144		+	oxyS	Rv0117	-	11	2	11	131292	74464	108936	3	111	5	2	108195	74464	2	96	0.45914148652390896	1.0
	143876	142128		-	oxcA	Rv0118c	-	6	1	2	74277	49258	23776	0	28	1	1	33506	49258	0	23	0.5406561544009801	1.0
	144049	145626		+	fadD7	Rv0119	-	20	2	11	246629	73805	105319	3	89	4	2	81639	73805	1	49	0.5986165511517975	1.0
	147771	145627		-	fusA2	Rv0120c	-	3	1	7	37551	47281	71276	0	24	1	1	32572	47281	0	18	0.5588859399017002	1.0
	148342	147908		-		Rv0121c	-	0	0	0	4951	0	0	0	3	0	0	0	0	0	0	0.0	1.0
	148491	148859		+		Rv0122	-	0	0	1	2544	0	10053	0	11	0	0	0	0	0	0	0.0	1.0
	148856	149224		+		Rv0123	-	3	0	5	37757	0	49946	3	79	0	0	13174	0	0	17	0.45564464438703983	1.0
	149533	150996		+	PE_PGRS2	Rv0124	-	1	1	3	15130	40527	30851	0	19	0	1	9439	40527	0	17	0.45897295865892945	1.0
	151148	152215		+	pepA	Rv0125	-	3	1	2	42022	51565	19893	0	35	0	1	0	51565	0	24	0.5846557330745334	1.0
	152324	154129		+	treS	Rv0126	-	4	0	1	48486	22734	16808	0	16	3	0	69398	22734	0	25	0.5640628644954351	1.0
	154232	155599		+	mak	Rv0127	-	1	4	4	12379	105601	42606	0	39	0	4	16078	105601	0	44	0.5101221596902613	1.0
	155667	156446		+		Rv0128	-	2	0	4	32118	25700	44255	1	43	4	0	76556	25700	1	65	0.5548059213120387	1.0
	157600	156578		-	fbpC	Rv0129c	-	7	2	6	90852	59308	59095	2	68	9	2	178941	59308	2	116	0.5560521410981683	1.0
	157847	158302		+	htdZ	Rv0130	-	3	0	5	36657	6919	53936	2	71	2	0	45746	6919	1	57	0.44578277515227693	1.0
	159658	158315		-	fadE1	Rv0131c	-	2	0	3	30398	0	35957	0	16	0	0	0	0	0	0	0.0	1.0
	160782	159700		-	fgd2	Rv0132c	-	7	0	8	93810	9225	82606	2	57	5	0	98547	9225	1	49	0.4625547395824929	1.0
	160869	161474		+		Rv0133	-	2	0	1	30192	17627	16223	1	35	0	0	0	17627	0	14	0.666562823817234	1.0
	161771	162673		+	ephF	Rv0134	-	8	1	6	97386	46457	56223	2	73	4	1	76348	46457	1	67	0.4703060282103948	1.0
163249	163249	162644		-		Rv0135c	-	23	4	37	273039	124217	344521	14	408	2	4	48858	124217	2	142	0.6163222381477209	1.0
	163366	164691		+	cyp138	Rv0136	-	4	1	7	49037	38056	71755	1	39	2	1	48132	38056	0	32	0.5490204987973978	1.0
	165260	164712		-	msrA	Rv0137c	-	4	1	5	49931	35584	55212	2	85	4	1	77904	35584	2	103	0.5214365250183955	1.0
	165323	165826		+		Rv0138	-	0	0	0	0	0	9042	0	5	0	0	0	0	0	0	0.0	1.0
	165827	166849		+		Rv0139	-	3	0	1	44910	0	16489	0	20	2	0	48340	0	0	23	0.5190383566987105	1.0
	166910	167290		+		Rv0140	-	11	1	13	140577	28006	124308	9	256	4	1	79149	28006	3	140	0.6129635994701494	1.0
	167681	167271		-		Rv0141c	-	38	16	36	452544	422899	339361	30	985	40	16	750103	422899	32	1427	0.5571859007026745	1.0
	167711	168637		+		Rv0142	-	7	2	8	94222	64579	74468	2	83	3	2	67116	64579	1	71	0.45317511796518417	1.0
	170182	168704		-		Rv0143c	-	11	4	11	133837	110543	105638	2	78	1	4	21680	110543	0	44	0.6024322095035628	1.0
	170284	171126		+		Rv0144	-	2	0	5	32393	20593	53563	1	42	1	0	33817	20593	0	32	0.5641863732046754	1.0
170933			170807	-	-	predicted RNA	antisense: Rv0144	79	21	109	939477	552883	1019946	228	6593	40	21	748443	552883	113	5123	0.5239560202663711	1.0
	171215	172168		+		Rv0145	-	1	2	3	17400	69028	31755	1	41	0	2	14937	69028	0	44	0.4981230764125155	1.0
	172211	173143		+		Rv0146	-	0	7	0	10453	185008	7872	1	72	0	7	0	185008	1	99	0.5314384150744857	1.0
	173238	174758		+		Rv0147	-	2	0	1	27785	25700	14255	0	14	0	0	11307	25700	0	12	0.4482950190935007	1.0
	174833	175693		+		Rv0148	-	0	0	0	0	0	0	0	0	0	0	17946	0	0	10	1.0	1.0
	175700	176668		+		Rv0149	-	0	0	4	0	17627	40744	0	20	1	0	18775	17627	0	18	0.4754109520444493	1.0
	176952	176665		-		Rv0150c	-	13	2	9	163480	69851	90957	12	375	6	2	113174	69851	7	317	0.45623214698454145	1.0
	179309	177543		-	PE1	Rv0151c	-	9	2	14	111760	55518	130372	1	56	5	2	108713	55518	1	46	0.45038249782474504	1.0
	180896	179319		-	PE2	Rv0152c	-	3	6	6	37620	174794	57021	1	56	0	6	17634	174794	1	60	0.4884565793174071	1.0
	181985	181155		-	ptbB	Rv0153c	-	5	0	8	63067	18945	75691	2	63	2	0	52800	18945	1	43	0.5792740971452673	1.0
	183198	181987		-	fadE2	Rv0154c	-	0	1	2	10866	46128	21595	0	21	0	1	16597	46128	0	25	0.5201743939891091	1.0
	183622	184722		+	pntAa	Rv0155	-	1	1	3	20426	37726	37021	0	28	5	1	102074	37726	1	63	0.6022781398994099	1.0
	184723	185055		+	pntAb	Rv0156	-	7	4	7	91196	115485	69521	8	276	6	4	125933	115485	7	362	0.51462165655712	1.0
	185052	186479		+	pntB	Rv0157	-	21	4	26	249381	110214	244255	4	140	16	4	302385	110214	3	144	0.4847050723318591	1.0
	186623	186495		-		Rv0157A	-	3	0	4	46836	22405	39095	9	279	2	0	45539	22405	6	263	0.4755731583221652	1.0
	186785	187429		+		Rv0158	-	3	0	0	39546	0	9255	0	25	0	0	0	0	0	0	0.0	1.0
	188839	187433		-	PE3	Rv0159c	-	24	3	44	289270	81383	416117	7	186	11	3	210892	81383	2	103	0.5634474799073332	1.0
	190439	188931		-	PE4	Rv0160c	-	0	0	0	8665	0	6276	0	3	0	0	13692	0	0	4	0.5634607328845813	1.0
	190607	191956		+		Rv0161	-	0	0	3	0	0	35372	0	8	6	0	111307	0	1	41	0.07334997297540424	1.0
	193135	191984		-	adhE1	Rv0162c	-	0	0	3	0	0	36542	0	10	0	0	0	0	0	0	0.0	1.0
	193117	193572		+		Rv0163	-	3	0	11	44497	0	102500	4	107	1	0	30497	0	0	33	0.6971871204900887	1.0
	193626	194111		+	TB18.5	Rv0164	-	17	0	17	212379	21581	158404	10	269	5	0	108817	21581	3	134	0.6152803734786655	1.0
194815	194815	194144		-	mce1R	Rv0165c	-	23	8	47	272696	216474	438244	16	460	18	8	332468	216474	9	408	0.5145201317076104	1.0
	194993	196657		+	fadD5	Rv0166	-	3	3	5	39202	88467	50744	0	35	0	3	13070	88467	0	30	0.45933699897359453	1.0
196781			196745	-	-	predicted RNA	-	26	7	28	311623	208401	265585	233	7077	21	7	403008	208401	189	8262	0.5133650911913814	1.0
	196861	197658		+	yrbE1A	Rv0167	-	5	3	6	65680	83196	60212	2	87	8	3	148962	83196	3	145	0.5542034103436033	1.0
	197660	198529		+	yrbE1B	Rv0168	-	2	1	6	24621	30971	60000	1	44	2	1	41701	30971	0	41	0.47670062902963584	1.0
	198534	199898		+	mce1A	Rv0169	-	3	0	8	41540	17133	77393	1	33	4	0	76037	17133	0	34	0.49236260869753806	1.0
	199895	200935		+	mce1B	Rv0170	-	6	3	7	78541	84349	65638	2	73	5	3	95020	84349	1	86	0.5065478803697488	1.0
	200932	202479		+	mce1C	Rv0171	-	9	3	9	115543	92421	85478	1	63	10	3	201037	92421	2	94	0.5282438257451167	1.0
	202476	204068		+	mce1D	Rv0172	-	12	0	16	146767	25535	153404	2	68	5	0	108091	25535	1	41	0.5936177255162518	1.0
	204065	205237		+	lprK	Rv0173	-	3	1	2	39133	29159	22765	0	25	2	1	46058	29159	0	32	0.5253527416981884	1.0
	205231	206778		+	mce1F	Rv0174	-	4	0	13	50137	0	122819	1	37	4	0	84232	0	0	27	0.5683422824755499	1.0
206864			206639	-	-	predicted RNA	antisense: Rv0175 mce1F	187	42	248	2222902	1113014	2317765	292	8338	135	42	2506742	1113014	186	8008	0.49256593220719974	1.0
	206814	207455		+		Rv0175	-	0	0	1	0	17133	17819	0	18	0	0	14730	17133	0	24	0.5529189084159688	1.0
	207452	208420		+		Rv0176	-	2	0	2	25309	0	23351	0	16	1	0	26556	0	0	13	0.4489140240968992	1.0
	208417	208971		+		Rv0177	-	0	0	4	10041	3953	41117	1	33	0	0	0	3953	0	3	3.5325807918956054E-6	1.8062979374463794E-4
208883			208658	-	-	predicted RNA	antisense: Rv0177	120	28	203	1425997	757825	1894680	215	6015	73	28	1364107	757825	106	4694	0.5352280549938728	1.0
	208938	209672		+		Rv0178	-	7	1	13	83425	48270	123085	4	115	6	1	114107	48270	2	110	0.47271558851879714	1.0
	210812	209703		-	lprO	Rv0179c	-	9	1	29	118156	43492	276276	5	131	5	1	104771	43492	1	66	0.608740296263169	1.0
	212250	210892		-		Rv0180c	-	18	2	13	220976	55354	121382	3	97	4	2	89626	55354	1	53	0.6024428857757892	1.0
	213011	212277		-		Rv0181c	-	2	0	0	23796	16639	1861	0	19	1	0	20020	16639	0	24	0.5417518081874251	1.0
	214140	213028		-	sigG	Rv0182c	-	0	3	0	2063	91268	1914	0	28	1	3	19502	91268	0	49	0.5774354105909414	1.0
	214088	214927		+		Rv0183	-	14	0	8	177028	0	80744	3	102	5	0	103008	0	1	61	0.6017016273189415	1.0
	214969	215718		+		Rv0184	-	17	0	12	203713	25700	115744	5	153	1	0	21265	25700	0	31	0.0739075992734973	1.0
	215715	216224		+		Rv0185	-	40	1	23	476616	44975	215744	17	481	3	1	61514	44975	2	104	0.043027206498003005	1.0
216269	216269	218344		+	bglS	Rv0186	-	1744	62	1522	20637207	1634266	14172446	222	5851	298	62	5509751	1634266	41	1720	0.7084559633770166	1.0
218345			218595	+	-	predicted RNA	antisense: mymT	1449	62	977	17147799	1629654	9096755	1372	37017	320	62	5923340	1629654	362	15045	0.6667092943701454	1.0
