Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_50 Replicate 1	Raw Counts Cond_50 Replicate 2	Raw Counts Cond_50 Replicate 3	Normalized Counts Cond_50 Replicate 1	Normalized Counts Cond_50 Replicate 2	Normalized Counts Cond_50 Replicate 3	RPKM Cond_50	Expression Cond_50	Raw Counts Cond_6 Replicate 1	Raw Counts Cond_6 Replicate 2	Normalized Counts Cond_6 Replicate 1	Normalized Counts Cond_6 Replicate 2	RPKM Cond_6	Expression Cond_6	pValue Cond_50 vs Cond_6	qValue Cond_50 vs Cond_6
	33224	33553		+		Rv0030	-	0	0	0	7506	7463	0	0	15	0	1	0	34431	0	52	0.8046126802018645	1.0
	34295	36610		+	bioF2	Rv0032	-	1	3	3	18424	30920	33596	0	11	4	3	80186	81713	0	34	0.05979366919233634	0.40948285775052373
	36607	36870		+	acpA	Rv0033	-	0	0	0	0	0	8885	0	11	0	0	0	0	0	0	0.0	1.0
	36867	37262		+		Rv0034	-	0	0	0	10980	9147	8937	1	24	0	1	0	32125	0	40	0.5552487676413701	1.0
	37259	38947		+	fadD34	Rv0035	-	30	26	28	342245	257519	267981	7	171	6	1	121576	30148	1	44	0.06211256468574294	0.42205680600125944
	39829	39056		-		Rv0036c	-	7	9	5	82692	90852	51787	4	97	2	0	48547	0	0	31	0.7361071128440798	1.0
	41202	39877		-		Rv0037c	-	5	2	0	61104	27272	2891	0	22	5	1	104460	48929	1	57	0.10646640226778997	0.5980705729446071
	41304	41912		+		Rv0038	-	8	5	8	97518	52188	78969	5	125	3	1	68983	36243	1	86	0.5051650894723161	1.0
	42351	42004		-		Rv0039c	-	5	2	2	63151	22109	18927	4	99	0	1	15767	29489	1	65	0.3585715359294201	1.0
	43365	42433		-	mtc28	Rv0040c	-	1	2	2	21836	26206	24973	1	26	0	0	15560	12026	0	14	0.34980935814215314	1.0
	43562	46471		+	leuS	Rv0041	-	31	43	34	351799	426599	327339	5	126	14	6	268360	183196	1	77	0.5693142789084089	1.0
	47207	46581		-		Rv0042c	-	3	1	4	34491	18518	41850	2	50	0	0	10684	0	0	8	0.022791720547259278	0.19552385420836602
	48100	47366		-		Rv0043c	-	1	0	3	17245	8754	34069	1	27	0	0	17012	0	0	11	0.6822703514451461	1.0
	49027	48233		-		Rv0044c	-	2	0	0	26240	8698	8832	0	18	3	4	64522	125864	2	119	4.116938946183802E-5	6.299204485489621E-4
	49939	49043		-		Rv0045c	-	2	6	5	23573	60662	53101	2	51	4	0	79875	23228	1	57	0.7090411822412954	1.0
51124	51124	50021	50021	-	ino1	Rv0046c	-	417	311	479	4632568	3074017	4540536	159	3697	158	41	2922614	1089291	42	1816	0.6633096338550154	1.0
	51727	51185		-		Rv0047c	-	15	11	14	170719	112233	134016	10	255	3	0	60892	0	1	56	0.05828461756579357	0.40532478598640753
	52697	51828		-		Rv0048c	-	15	18	21	176985	181930	203890	9	215	6	6	117427	168863	3	164	0.42824196262047387	1.0
	52831	53244		+		Rv0049	-	0	0	0	0	0	0	0	0	0	0	0	20922	0	25	0.0	0.0
	53663	55699		+	ponA1	Rv0050	-	3	4	2	37655	43209	23711	0	17	2	1	48029	42009	0	22	0.669219189331624	1.0
	55696	57378		+		Rv0051	-	3	3	3	41563	34062	37644	0	22	1	4	19294	104777	0	36	0.6702214073355648	1.0
	57410	57973		+		Rv0052	-	0	2	4	0	29124	42376	1	42	2	0	48547	0	1	43	0.43831188111239083	1.0
	58192	58482		+	rpsF	Rv0053	-	0	1	0	0	12289	0	0	14	0	0	0	0	0	0	0.0	1.0
	58586	59080		+	ssb	Rv0054	-	0	0	0	0	8136	9411	0	11	0	0	11410	0	0	11	0.4838620598414799	1.0
	59122	59376		+	rpsR1	Rv0055	-	0	0	0	0	6790	0	0	8	0	0	0	0	0	0	0.0	1.0
	59409	59867		+	rplI	Rv0056	-	0	0	2	0	5443	22923	0	20	1	0	21991	0	0	23	0.4998300547488498	1.0
	59896	60417		+		Rv0057	-	0	0	1	0	0	11987	0	7	0	0	11099	0	0	10	0.5570700764604252	1.0
	60396	63020		+	dnaB	Rv0058	-	2	3	2	22828	36083	24921	0	10	0	0	0	0	0	0	0.0	1.0
	63200	63892		+		Rv0059	-	10	8	15	114764	82547	145793	7	165	2	0	49688	19275	1	49	0.18018281621553925	0.8624438105771277
63909	63909	64967		+		Rv0060	-	44	34	44	489578	336980	418086	16	391	18	2	336721	71663	4	192	0.9062019997759884	1.0
	65350	65012		-		Rv0061c	-	12	13	13	133436	133164	126288	16	386	9	7	184232	186161	11	546	0.1736073592557814	0.8413131828386483
65363			65417	+	-	predicted RNA	-	22	24	30	250620	244949	291430	207	4769	15	4	287344	124876	87	3747	0.39957351374749905	1.0
	65552	66694		+	celA1	Rv0062	-	0	0	1	0	7407	9936	0	5	1	0	29564	0	0	12	0.6278311554557572	1.0
	66923	68362		+		Rv0063	-	2	3	2	22642	36588	21661	0	18	0	2	14522	73311	0	30	0.8883425960228662	1.0
	68418	68579		+		Rv0063a	-	0	0	0	0	9259	8517	1	36	0	0	0	16639	0	51	0.5473247832154355	1.0
	68620	71559		+		Rv0064	-	5	9	7	59429	90852	72975	1	25	2	3	47302	91598	0	23	0.9303180781633723	1.0
	71589	71828		+	vapB1	Rv0064A	-	1	0	0	15880	0	0	0	22	0	0	0	0	0	0	0.0	1.0
	71821	72222		+	vapC1	Rv0065	-	13	6	7	145719	61784	68138	9	228	6	0	119294	0	3	148	0.6662172278610764	1.0
	74511	72274		-	icd2	Rv0066c	-	18	24	22	208126	246857	215720	4	99	8	2	157676	76606	1	52	0.5562582962536745	1.0
	75198	74629		-		Rv0067c	-	0	2	1	9553	22727	10725	1	25	1	0	34958	19275	1	47	0.6057011722033601	1.0
	75301	76212		+		Rv0068	-	10	6	12	115942	59259	114300	4	105	4	0	75103	0	1	41	0.27084864478875004	1.0
	77622	76237		-	sdaA	Rv0069c	-	4	7	9	46464	78619	88748	2	51	2	2	44502	53706	0	35	0.43669359670335733	1.0
	78896	77619		-	glyA2	Rv0070c	-	3	3	1	43424	33557	13512	0	23	1	0	36410	0	0	14	0.353680657819933	1.0
	79486	80193		+		Rv0071	-	9	7	9	110607	70145	88801	5	126	4	0	82780	0	1	58	0.29399108992733197	1.0
	80624	81673		+		Rv0072	-	8	6	5	97766	66722	53995	2	69	1	0	36410	0	0	17	0.2888307594204312	1.0
	81676	82668		+		Rv0073	-	1	2	3	13337	26823	35120	1	25	0	2	7987	67380	0	37	0.6384472427603247	1.0
	82748	83983		+		Rv0074	-	1	0	0	13027	0	8622	0	5	1	1	34854	34761	0	28	0.029955679637580647	0.24246772835129618
	83996	85168		+		Rv0075	-	9	2	11	104714	28282	106519	2	68	1	0	34543	23393	0	24	0.7291256023509035	1.0
85572	85572	85183		-		Rv0076c	-	13	25	29	151861	251739	275026	25	580	6	4	122614	124876	6	317	0.5424156657374418	1.0
	86466	85636		-		Rv0077c	-	8	5	3	91935	50112	34121	2	70	2	0	50000	0	0	30	0.29084493695231345	1.0
	86528	87133		+		Rv0078	-	4	6	3	46215	67115	28969	3	78	0	1	10269	28995	0	32	0.7063200159668056	1.0
	87801	87208		-		Rv0078A	-	0	3	2	0	36588	22660	1	33	2	0	50518	0	1	42	0.47891915992459694	1.0
	88004	87798		-		Rv0078B	-	0	0	0	0	1346	6151	0	12	0	0	5394	0	0	13	0.4794757029182429	1.0
	88204	89025		+		Rv0079	-	0	1	2	8933	16778	21188	0	19	0	0	0	3459	0	2	1.1038275363244723E-5	1.0
	89022	89480		+		Rv0080	-	3	0	0	39640	8866	8832	1	41	0	2	0	61779	1	67	0.556067261695823	1.0
	89575	89919		+		Rv0081	-	0	0	0	0	0	0	0	0	1	0	30705	0	1	44	0.0	0.0
	89924	90403		+		Rv0082	-	0	0	0	0	0	0	0	0	0	0	10062	0	0	10	0.0	1.0
	90400	92322		+		Rv0083	-	1	3	0	17307	35634	0	0	9	1	2	18568	59967	0	20	0.7429928186197466	1.0
	92328	93278		+	hycD	Rv0084	-	2	0	1	24379	0	16771	0	14	0	5	0	141186	1	74	0.0028983412328569295	0.03311525126627134
	93289	93951		+	hycP	Rv0085	-	0	0	0	0	0	7886	0	3	0	0	0	0	0	0	7.478926432148269E-126	1.0
	93951	95417		+	hycQ	Rv0086	-	2	0	0	28908	0	5047	0	7	1	0	25311	22240	0	16	0.6101504408976937	1.0
	95414	96892		+	hycE	Rv0087	-	3	6	2	40136	66778	25026	1	29	3	0	66182	23393	0	30	0.5011698375982334	1.0
	96927	97601		+		Rv0088	-	1	3	2	21650	31257	19348	1	35	0	2	12136	73311	1	63	0.9755457046170606	1.0
	97758	98351		+		Rv0089	-	0	0	0	0	1402	0	0	0	1	0	24273	0	0	20	1.1379664927380061E-61	1.0
	98480	99250		+		Rv0090	-	0	0	0	0	0	6940	0	3	3	0	59232	0	1	38	1.1665193278623055E-8	2.3309080268152737E-7
	99684	100451		+	mtn	Rv0091	-	0	0	1	7568	8024	14458	0	13	2	0	38278	0	0	24	0.5698822008417573	1.0
	100583	102868		+	ctpA	Rv0092	-	16	15	12	188151	156677	120715	2	67	4	3	87551	89785	0	38	0.7621141692026998	1.0
	103663	102815		-		Rv0093c	-	12	3	10	136042	37991	95636	4	105	6	3	118464	86820	2	120	0.42093241889802685	1.0
104663	104663	103710	103710	-		Rv0094c	-	53	58	97	595409	573120	926971	32	732	35	21	662136	562108	13	641	0.44712682664035186	1.0
	105215	104805		-		Rv0095c	-	2	0	0	23697	0	8359	1	25	0	0	0	0	0	0	0.0	0.0
	105324	106715		+	PPE1	Rv0096	-	0	1	0	0	9988	0	0	2	0	3	14419	91103	0	37	6.215119332083534E-15	1.519405709340645E-13
	106734	107603		+		Rv0097	-	0	0	3	9739	6285	33911	0	19	1	0	34751	0	0	19	0.45863807716490884	1.0
	107600	108151		+	fcoT	Rv0098	-	0	0	0	0	7351	0	0	4	0	0	13796	0	0	12	0.6705501484518952	1.0
	108156	109778		+	fadD10	Rv0099	-	3	5	2	35359	55106	19663	0	22	3	0	72614	24382	0	29	0.7686057861825254	1.0
	109783	110019		+		Rv0100	-	1	1	8	15570	18574	83596	7	165	0	0	15663	15321	1	65	0.7071608560543725	1.0
	110001	117539		+	nrp	Rv0101	-	84	113	115	932816	1125028	1097528	6	139	35	25	661929	659143	1	87	0.9072810492015695	1.0
	117714	119699		+		Rv0102	-	9	18	12	108064	179405	120294	2	68	4	1	87551	50082	0	34	0.9042613606627038	1.0
	122173	119915		-	ctpB	Rv0103c	-	15	31	20	175868	309988	198002	4	100	9	3	180082	93245	1	60	0.5097330984083095	1.0
	122317	123831		+		Rv0104	-	16	32	20	180645	325028	190799	6	153	15	2	288070	75617	2	120	0.40342839283312054	1.0
	124264	123980		-	rpmB1	Rv0105c	-	0	0	0	0	0	5257	0	6	0	0	2385	0	0	4	0.5529371300549202	1.0
	124374	125570		+		Rv0106	-	12	8	15	138647	85746	145583	4	103	4	3	74273	92257	1	69	0.9889580790962581	1.0
	130541	125643		-	ctpI	Rv0107c	-	5	3	8	61724	32210	81545	0	11	91	51	1694709	1359637	6	311	3.451180462290914E-269	1.1270422166406746E-267
130795			131032	+	-	predicted RNA	antisense: Rv0108c	110	131	157	1229838	1301290	1485909	244	5626	98	31	1821058	823887	128	5556	0.3244320200886766	1.0
	131104	130895		-		Rv0108c	-	0	0	0	0	0	0	0	0	0	0	16701	0	1	39	0.0	0.0
	131382	132872		+	PE_PGRS1	Rv0109	-	0	0	0	0	9427	0	0	2	0	0	0	0	0	0	0.0	1.0
	133020	133769		+		Rv0110	-	1	1	3	13089	12008	28391	1	23	0	0	0	17133	0	11	0.6638149033876762	1.0
	133950	136007		+		Rv0111	-	7	4	9	86600	42929	85173	1	34	3	1	59439	33113	0	22	0.3781247328264534	1.0
	136289	137245		+	gca	Rv0112	-	0	1	0	9801	16610	0	0	9	1	0	26452	0	0	13	0.5452192601409483	1.0
	137319	137909		+	gmhA	Rv0113	-	10	7	4	117617	77216	45899	5	135	5	1	95539	29324	2	105	0.730002583176787	1.0
	137941	138513		+	gmhB	Rv0114	-	0	1	0	5955	13748	0	0	11	0	0	17219	0	0	15	0.5317362955667391	1.0
	138513	139673		+	hddA	Rv0115	-	0	1	2	4156	10718	26813	0	11	2	0	44294	0	0	19	0.5269804577114438	1.0
	139956	140144		+		Rv0115a	-	0	2	2	8188	27833	19085	4	97	0	1	0	32125	1	84	0.42653294543922066	1.0
	141022	140267		-	ldtA	Rv0116c	-	21	20	10	236166	197923	101787	10	236	1	0	28630	24217	0	34	0.0034076160747336195	0.03823519985393415
	141200	142144		+	oxyS	Rv0117	-	4	7	16	50310	69360	154468	4	96	5	2	108195	74464	2	96	0.6655112027229324	1.0
	143876	142128		-	oxcA	Rv0118c	-	5	4	6	62096	42592	60620	1	31	1	1	33506	49258	0	23	0.3644930253330127	1.0
	144049	145626		+	fadD7	Rv0119	-	17	8	12	189330	84904	120084	3	83	4	2	81639	73805	1	49	0.9624097682452818	1.0
	147771	145627		-	fusA2	Rv0120c	-	2	1	4	22394	17115	44952	0	13	1	1	32572	47281	0	18	0.6307318862527869	1.0
	148342	147908		-		Rv0121c	-	0	0	0	0	7239	4048	0	8	0	0	0	0	0	0	0.0	1.0
	148491	148859		+		Rv0122	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	148856	149224		+		Rv0123	-	1	3	2	21960	33108	26025	3	73	0	0	13174	0	0	17	0.6550556062243714	1.0
	149533	150996		+	PE_PGRS2	Rv0124	-	1	0	0	17866	9315	5047	0	7	0	1	9439	40527	0	17	0.7595865301087459	1.0
	151148	152215		+	pepA	Rv0125	-	4	3	1	48697	32435	14300	1	29	0	1	0	51565	0	24	0.3927072039801676	1.0
	152324	154129		+	treS	Rv0126	-	4	8	2	44665	79966	22607	1	27	3	0	69398	22734	0	25	0.49095168327585237	1.0
	154232	155599		+	mak	Rv0127	-	5	1	1	60607	19360	10725	0	22	0	4	16078	105601	0	44	0.3894275740999635	1.0
	155667	156446		+		Rv0128	-	2	1	8	29528	18069	77497	2	53	4	0	76556	25700	1	65	0.7587317441074947	1.0
	157600	156578		-	fbpC	Rv0129c	-	9	10	12	110732	102693	121924	4	109	9	2	178941	59308	2	116	0.3673780512579212	1.0
	157847	158302		+	htdZ	Rv0130	-	3	2	1	41253	23344	10883	2	55	2	0	45746	6919	1	57	0.4392959526510852	1.0
	159658	158315		-	fadE1	Rv0131c	-	3	0	2	34181	4769	25972	0	16	0	0	0	0	0	0	0.0	1.0
	160782	159700		-	fgd2	Rv0132c	-	14	5	12	165818	54994	118086	4	104	5	0	98547	9225	1	49	0.6031849674022935	1.0
	160869	161474		+		Rv0133	-	0	0	0	3473	0	0	0	1	0	0	0	17627	0	14	0.0013595022182814084	1.0
	161771	162673		+	ephF	Rv0134	-	6	5	6	74069	56172	58569	2	69	4	1	76348	46457	1	67	0.8124467527488384	1.0
163249	163249	162644		-		Rv0135c	-	28	25	30	311786	250392	285173	20	466	2	4	48858	124217	2	142	0.13528582618456714	0.7096831519256078
	163366	164691		+	cyp138	Rv0136	-	2	5	8	29714	57968	77655	1	41	2	1	48132	38056	0	32	0.38439392323953825	1.0
	165260	164712		-	msrA	Rv0137c	-	8	4	9	96588	41526	91009	5	139	4	1	77904	35584	2	103	0.60640820386991	1.0
	165323	165826		+		Rv0138	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	165827	166849		+		Rv0139	-	3	0	1	40818	9147	14195	0	20	2	0	48340	0	0	23	0.4583226236339045	1.0
166910	166910	167290		+		Rv0140	-	17	8	21	197704	84455	208044	18	428	4	1	79149	28006	3	140	0.29254699594188655	1.0
	167681	167271		-		Rv0141c	-	15	49	70	177109	487429	667507	48	1080	40	16	750103	422899	32	1427	0.1873770229974587	0.8816794114375046
	167711	168637		+		Rv0142	-	8	5	4	90756	56453	39064	2	66	3	2	67116	64579	1	71	0.9487288558510699	1.0
	170182	168704		-		Rv0143c	-	9	8	12	102233	87934	115194	2	68	1	4	21680	110543	0	44	0.78118645350418	1.0
	170284	171126		+		Rv0144	-	4	2	4	52977	25476	43690	2	48	1	0	33817	20593	0	32	0.3561216106318874	1.0
171142			170773	-	-	predicted RNA	antisense: Rv0144	185	260	220	2056141	2571661	2089642	262	6051	112	48	2076452	1272817	101	4526	0.5254340992146652	1.0
	171215	172168		+		Rv0145	-	1	0	0	13275	0	0	0	4	0	2	14937	69028	0	44	7.3756634616825754E-6	1.2043247503105579E-4
171665			171388	-	-	predicted RNA	antisense: Rv0145	135	154	129	1505955	1522109	1224132	219	5098	62	16	1153630	428995	67	2846	0.5567399338143302	1.0
	172211	173143		+		Rv0146	-	0	2	1	0	23007	10357	0	11	0	7	0	185008	1	99	5.762553457127662E-7	1.0507055803496104E-5
	173238	174758		+		Rv0147	-	0	1	0	0	10662	0	0	2	0	0	11307	25700	0	12	0.047086079739606525	1.0
	174833	175693		+		Rv0148	-	0	0	0	10049	0	0	0	3	0	0	17946	0	0	10	0.6563915730468333	1.0
	175700	176668		+		Rv0149	-	0	2	0	0	25028	5888	0	10	1	0	18775	17627	0	18	0.5595224267430156	1.0
176952	176952	176665		-		Rv0150c	-	10	17	20	111414	168967	191745	23	546	6	2	113174	69851	7	317	0.7357082891352935	1.0
	179309	177543		-	PE1	Rv0151c	-	11	11	5	123635	115656	49842	2	54	5	2	108713	55518	1	46	0.8790671189214168	1.0
	180896	179319		-	PE2	Rv0152c	-	3	3	2	41811	35297	19926	0	20	0	6	17634	174794	1	60	0.04085211702696769	0.31418078050968473
	181985	181155		-	ptbB	Rv0153c	-	2	4	5	23387	42704	49316	2	46	2	0	52800	18945	1	43	0.40001641746964506	1.0
	183198	181987		-	fadE2	Rv0154c	-	3	0	0	34491	6846	6466	0	13	0	1	16597	46128	0	25	0.7889372362481036	1.0
	183622	184722		+	pntAa	Rv0155	-	1	3	2	14826	31593	20241	0	20	5	1	102074	37726	1	63	0.05784267456317188	0.4049912702215042
	184723	185055		+	pntAb	Rv0156	-	6	7	10	77605	74298	95373	10	247	6	4	125933	115485	7	362	0.21239951404392327	0.952315853951033
	185052	186479		+	pntB	Rv0157	-	19	27	19	221526	270763	182439	6	157	16	4	302385	110214	3	144	0.32830563492857384	1.0
	186623	186495		-		Rv0157A	-	1	2	1	16439	22446	16298	6	142	2	0	45539	22405	6	263	0.7795738135035268	1.0
	186785	187429		+		Rv0158	-	0	0	1	930	1571	14037	0	8	0	0	0	0	0	0	0.0	1.0
	188839	187433		-	PE3	Rv0159c	-	20	35	44	228908	353254	425131	10	238	11	3	210892	81383	2	103	0.45344523976690454	1.0
	190439	188931		-	PE4	Rv0160c	-	0	3	4	7009	35970	40904	0	18	0	0	13692	0	0	4	0.721987858528752	1.0
	190607	191956		+		Rv0161	-	2	0	1	23883	6958	15036	0	11	6	0	111307	0	1	41	0.04556436226359077	0.3402553741731625
	193135	191984		-	adhE1	Rv0162c	-	2	4	2	26612	46745	25236	1	28	0	0	0	0	0	0	0.0	0.0
	193117	193572		+		Rv0163	-	5	7	9	62841	69753	94111	7	165	1	0	30497	0	0	33	0.07946984021364817	0.5021855591132467
	193626	194111		+	TB18.5	Rv0164	-	21	28	22	236352	278170	214984	21	500	5	0	108817	21581	3	134	0.1008076650261139	0.5866148166945139
194815	194815	194144		-	mce1R	Rv0165c	-	25	41	25	278163	413299	238117	19	461	18	8	332468	216474	9	408	0.38000369184415056	1.0
	194993	196657		+	fadD5	Rv0166	-	1	6	3	18486	64141	37749	1	24	0	3	13070	88467	0	30	0.7754863903805752	1.0
195139			195017	-	-	predicted RNA	antisense: fadD5	55	73	55	618610	728507	529390	219	5085	27	11	512136	311861	75	3349	0.5082853090603798	1.0
196852			196642	-	-	predicted RNA	antisense: fadD5	114	117	131	1271898	1164309	1241535	251	5810	102	36	1897095	953047	155	6753	0.255365069292624	1.0
	196861	197658		+	yrbE1A	Rv0167	-	6	5	1	67617	55050	17875	2	58	8	3	148962	83196	3	145	0.058388965485165145	0.40532478598640753
	197660	198529		+	yrbE1B	Rv0168	-	4	6	4	44727	65656	44058	2	59	2	1	41701	30971	0	41	0.34979885601600824	1.0
	198534	199898		+	mce1A	Rv0169	-	3	7	5	39888	76094	49947	1	40	4	0	76037	17133	0	34	0.45042770135396887	1.0
	199895	200935		+	mce1B	Rv0170	-	10	16	16	117990	166891	153680	6	140	5	3	95020	84349	1	86	0.8384272288191309	1.0
200435			200277	-	-	predicted RNA	antisense: mce1B	65	66	63	722828	655667	603838	178	4155	45	22	832468	601317	99	4508	0.2794832794557507	1.0
	200932	202479		+	mce1C	Rv0171	-	12	13	16	137965	132828	152839	3	91	10	3	201037	92421	2	94	0.3228308736629553	1.0
	202476	204068		+	mce1D	Rv0172	-	7	24	13	78535	242199	125604	4	93	5	0	108091	25535	1	41	0.7548638242530662	1.0
	204065	205237		+	lprK	Rv0173	-	7	1	4	85421	10549	40536	1	38	2	1	46058	29159	0	32	0.37428065715450715	1.0
	205231	206778		+	mce1F	Rv0174	-	9	5	11	110918	50617	109095	2	58	4	0	84232	0	0	27	0.30302918296935616	1.0
205698			205265	-	-	predicted RNA	antisense: mce1F	208	220	261	2309801	2177216	2475552	231	5347	132	55	2442634	1457825	101	4493	0.5493822000123256	1.0
205860			205759	-	-	predicted RNA	antisense: mce1F	44	52	52	494106	522951	497476	214	4949	29	11	542219	307578	94	4165	0.47021967191205016	1.0
206917			206532	-	-	predicted RNA	antisense: Rv0175 mce1F	303	294	329	3373014	2908024	3121819	350	8119	185	60	3432053	1583031	150	6496	0.36182539592562335	1.0
	206814	207455		+		Rv0175	-	1	0	1	16997	6902	10147	0	17	0	0	14730	17133	0	24	0.5219010293043256	1.0
207414			207110	-	-	predicted RNA	antisense: Rv0175	136	181	163	1511724	1794051	1548422	229	5305	78	27	1440456	711367	81	3527	0.7109365014073749	1.0
